"country","continent","population","lifeexp","income"
"Bahrain","Asia",1570000,77.2,44300
"Swaziland","Africa",1390000,58.6,7600
"Trinidad and Tobago","Americas",1370000,73.4,30300
"Timor-Leste","Asia",1320000,73.3,1490
"Equatorial Guinea","Africa",1310000,66.1,20500
"Estonia","Europe",1310000,77.7,29500
"Mauritius","Africa",1270000,74.9,21000
"Cyprus","Asia",1190000,80.8,32200
"Djibouti","Africa",971000,67.1,3540
"Fiji","Oceania",912000,65.8,9420
"Comoros","Africa",832000,68,1440
"Bhutan","Asia",817000,74.8,9930
"Guyana","Americas",782000,68.2,7740
"Montenegro","Europe",629000,77.3,16600
"Solomon Islands","Oceania",623000,63.6,2110
"Luxembourg","Europe",590000,82.4,99000
"Suriname","Americas",568000,71.6,13200
"Cape Verde","Africa",553000,74.1,6420
"Maldives","Asia",444000,80.1,13000
"Brunei","Asia",434000,77.4,76900
"Malta","Europe",432000,81.8,37900
"Bahamas","Americas",399000,74.1,21900
"Belize","Americas",382000,72.5,7710
"Iceland","Europe",338000,82.6,47400
"Barbados","Americas",286000,76.8,16000
"Vanuatu","Oceania",282000,64.3,2900
"Sao Tome and Principe","Africa",209000,70.9,3190
"Samoa","Oceania",198000,72.4,5950
"St. Lucia","Americas",180000,76.6,10900
"Kiribati","Oceania",118000,62.2,1890
"St. Vincent and the Grenadines","Americas",110000,72,11400
"Tonga","Oceania",109000,70.7,5500
"Grenada","Americas",108000,71.9,13500
"Micronesia, Fed. Sts.","Oceania",106000,65.8,3410
"Antigua and Barbuda","Americas",103000,77.6,21000
"Seychelles","Africa",95200,74.2,27500
